index      asn country  hosts
401   AS136255      AU      8
402    AS36972      SD      8
403    AS42020      LB      7
404    AS28555      MX      7
405   AS197288      DK      7
406    AS12334      ES      7
407    AS57513      LB      7
408     AS6821      MK      7
409    AS41206      HU      7
410   AS265130              7
411    AS45178      AU      7
412     AS3212      SI      7
413    AS15802      AE      7
414    AS59282      AU      7
415    AS50223      KG      7
416    AS25229      UA      7
417    AS28198              7
418   AS203217      IQ      7
419    AS34087      NO      7
420    AS41750      KG      7
421    AS38193      AU      7
422   AS132768      AU      7
423    AS62211      TR      7
424    AS55805      AU      7
425     AS6503      UY      7
426    AS11139      DM      7
427    AS23700      AU      7
428     AS4657      AU      7
429   AS140045      AU      7
430    AS52742              7
431     AS8680      GB      7
432   AS196925      AZ      7
433   AS264129              7
434    AS61678              7
435    AS17465      AU      7
436    AS38819      AU      7
437    AS27768      PY      7
438    AS37075      UG      7
439    AS49800      AM      7
440    AS35004              7
441   AS137329      AU      7
442     AS8717      BG      7
443    AS53019              7
444   AS262503              7
445    AS45356      AU      7
446    AS23860      AU      7
447   AS202940      IL      7
448    AS58601      AU      7
449     AS9443      AU      7
450    AS24389      AU      7
451     AS3255      UA      7
452    AS37693      TN      7
453    AS51018      IQ      7
454    AS42772      BY      7
455    AS27951      CO      7
456    AS12997      KG      7
457    AS19422      UY      7
458    AS37035      TZ      7
459   AS263652              7
460     AS6079      US      7
461    AS21508      US      7
462     AS9873      AU      7
463    AS15962      SK      7
464   AS210116      PS      7
465    AS27651      CL      7
466     AS9051      LB      7
467   AS265066              7
468    AS38999      LB      7
469    AS42314      PS      7
470    AS24757              7
471    AS10219      AU      7
472   AS262988              7
473     AS6306      UY      7
474     AS6639      KY      7
475    AS11232      US      7
476    AS51225              7
477    AS29310              7
478     AS4817      AU      7
479   AS262468              7
480    AS28300              7
481    AS44869      DK      7
482    AS28306              7
483   AS264293              7
484    AS59239      AU      7
485    AS24088      AU      7
486    AS14868      UY      7
487    AS43824      LB      7
488    AS43852      KW      7
489   AS262605              6
490   AS328061      KM      6
491    AS37678      BW      6
492    AS10094      AU      6
493    AS36912      CM      6
494    AS52771              6
495   AS262865              6
496   AS264228              6
497    AS36923      NG      6
498    AS28917      LT      6
