           asn  hosts
1503    AS7131     6
273    AS47237     6
546   AS262720     6
1785   AS28545     6
1375   AS31117     6
1076   AS50010     6
2      AS33667     6
1377   AS30986     6
841     AS4771     6
435    AS62352     6
1093  AS262691     6
649   AS269326     6
2033  AS262476     6
1538   AS43019     6
811    AS58682     6
1418   AS52262     6
810    AS37645     6
1414  AS264531     6
1413   AS27653     6
588    AS29244     6
2050   AS28668     6
432    AS36926     6
1799   AS28015     6
607   AS265442     6
656    AS22258     6
1397   AS61817     6
449    AS36988     6
443   AS205877     6
1085   AS28952     6
1084   AS45245     6
126   AS262973     6
1958  AS266494     6
1054   AS49273     6
671   AS201411     6
180    AS61461     6
1535   AS29555     6
284     AS3741     6
862    AS57910     6
1238  AS132203     6
1757   AS52932     6
140    AS15796     6
1006   AS20776     6
1151   AS28258     6
1754   AS13367     6
690   AS262848     6
52     AS52637     6
1647   AS21826     6
501   AS205254     6
500    AS43205     6
1694   AS56099     6
1745    AS9500     6
144     AS1241     6
496    AS17747     6
1934  AS138754     6
398    AS33983     6
1743  AS135744     6
1742  AS147018     6
490    AS45820     6
378    AS61345     6
19      AS7155     6
477    AS37057     6
1017   AS37054     6
1759  AS140399     6
1147   AS12849     6
1470     AS600     6
1282   AS28191     6
1588  AS141342     6
1301    AS5769     6
1513  AS264556     6
536    AS23655     6
296    AS28171     6
89    AS263047     6
613    AS53059     6
302    AS12956     6
1292   AS32098     6
987   AS206375     6
1496  AS266802     6
1615   AS27773     6
1259   AS52263     6
73     AS52783     6
329    AS21283     6
328    AS36908     6
408    AS60268     6
1434   AS28279     6
194   AS265269     6
1264   AS52554     6
1597   AS12605     6
525   AS134806     6
775     AS1930     6
1522   AS53181     5
1811  AS136174     5
837   AS262808     5
818    AS56300     5
834   AS262504     5
1591    AS5056     5
1540   AS60372     5
814   AS141711     5
720   AS136902     5
1711  AS269921     5
1724   AS20214     5
728    AS28368     5
1698  AS263558     5
742    AS48006     5
1695   AS29314     5
743    AS39184     5
748    AS48252     5
1682   AS37205     5
1676    AS8529     5
1662  AS265684     5
1650   AS33874     5
758    AS28669     5
1636  AS131471     5
1622   AS42560     5
1610   AS61633     5
1596  AS265135     5
1578   AS55427     5
1788   AS41096     5
1559   AS15994     5
1550   AS27924     5
790   AS263585     5
2052  AS134489     5
1543   AS15146     5
1516  AS134326     5
1391  AS138730     5
839    AS12741     5
1235    AS3737     5
1199   AS23106     5
1202   AS27986     5
1207   AS27668     5
1213    AS5416     5
719    AS20963     5
1222   AS25543     5
1227    AS7016     5
1232   AS31252     5
1911   AS48966     5
1295   AS13682     5
992   AS135718     5
1247   AS20001     5
1252   AS17547     5
1255   AS31012     5
1257   AS33922     5
1260   AS24559     5
1266  AS207617     5
972    AS38562     5
1012   AS52308     5
1937  AS201986     5
1172   AS37558     5
1169   AS43925     5
1099  AS263546     5
1118   AS31126     5
1064  AS203971     5
1132   AS29695     5
1059   AS43309     5
1137  AS264738     5
1053  AS206163     5
1139  AS203424     5
1140  AS134021     5
1152    AS9354     5
1039  AS263629     5
1160  AS135269     5
1164   AS30950     5
1033   AS47794     5
1166   AS28183     5
1167   AS55501     5
1032  AS134674     5
964    AS52965     5
1297   AS12709     5
845    AS31452     5
1460   AS53089     5
889   AS271253     5
1419    AS1916     5
1421   AS42183     5
881    AS27800     5
1427   AS37190     5
1847   AS36937     5
876    AS53065     5
1445   AS57256     5
868   AS263527     5
1891  AS207810     5
1472   AS42841     5
1481   AS53093     5
1821  AS141778     5
1488   AS48206     5
855    AS37649     5
1490   AS28153     5
1495   AS47232     5
1497  AS269806     5
890    AS48641     5
892   AS262304     5
1407  AS139351     5
1405   AS27696     5
1307   AS49824     5
1310  AS263260     5
1311    AS8339     5
1314  AS262197     5
945   AS133720     5
1875   AS38805     5
1355  AS263042     5
1871   AS29584     5
1867  AS134913     5
1367  AS262459     5
922    AS34772     5
918     AS1820     5
1863  AS139922     5
905   AS396304     5
904   AS138039     5
903    AS49434     5
1381  AS263791     5
1214    AS8948     5
1715   AS28173     5
246   AS263276     5
346    AS38247     5
353    AS48728     5
356   AS138290     5
189     AS8818     5
362    AS11172     5
642    AS28538     5
173    AS17511     5
364    AS55769     5
645    AS52861     5
2102   AS15805     5
650    AS17976     5
651    AS60757     5
274    AS61510     5
392   AS137166     5
128   AS262675     5
124   AS268976     5
395   AS263423     5
396    AS56995     5
542    AS55915     5
541    AS15108     5
664    AS33490     5
103    AS56246     5
96    AS327885     5
82    AS210021     5
199   AS265217     5
635    AS22742     5
680   AS267705     5
634   AS265329     5
591   AS265762     5
283     AS8685     5
259   AS328539     5
258     AS3194     5
604    AS20764     5
255     AS3225     5
293    AS31148     5
580   AS136929     5
304   AS133301     5
308    AS28294     5
575    AS13490     5
616    AS28114     5
312    AS31169     5
571   AS264223     5
619    AS52988     5
220    AS52260     5
625   AS205368     5
214     AS6181     5
338   AS200154     5
341    AS48239     5
206    AS37577     5
630    AS34977     5
631    AS51069     5
79    AS208972     5
548    AS61163     5
703   AS206088     5
430   AS266989     5
466    AS45204     5
462   AS262342     5
59    AS262756     5
58     AS50463     5
69     AS42666     5
683    AS28263     5
20    AS136334     5
699    AS37229     5
43     AS37468     5
17     AS30999     5
510     AS9231     5
9      AS61512     5
2114   AS57704     5
460   AS200404     5
526    AS52951     5
508    AS10118     5
46     AS28554     5
486    AS44395     5
489    AS41202     5
456    AS53236     5
681   AS263500     5
77      AS6730     5
465    AS27940     4
2179  AS263269     4
321   AS264949     4
2177   AS52911     4
334    AS28398     4
342    AS28359     4
1069  AS266514     4
1245   AS53112     4
1251    AS8778     4
1970  AS268106     4
1912  AS264528     4
315    AS37531     4
309   AS328297     4
1268  AS203653     4
298    AS25454     4
1316   AS52901     4
2121   AS17709     4
1315   AS53142     4
276    AS38684     4
277     AS9329     4
286    AS39138     4
1020  AS262404     4
1300     AS803     4
484   AS264685     4
1294  AS267684     4
1048  AS262726     4
2127    AS8661     4
1285   AS18126     4
1985  AS209835     4
1284  AS141177     4
478   AS263292     4
1237  AS135772     4
1277   AS26210     4
1980  AS131702     4
472   AS264998     4
454    AS14259     4
1115  AS198735     4
347   AS262239     4
1150  AS265936     4
1100   AS45499     4
2159   AS55666     4
1101  AS137127     4
1961  AS267484     4
1103   AS25933     4
1938  AS200865     4
397    AS23607     4
1159   AS35132     4
438    AS26794     4
1959  AS263478     4
1943  AS267828     4
1171   AS21949     4
1944  AS266460     4
1954   AS37517     4
411    AS52655     4
415   AS137095     4
1138  AS263917     4
1135   AS53121     4
420     AS4800     4
1129  AS327786     4
1128  AS263809     4
1125   AS52324     4
388   AS264872     4
381   AS263146     4
1916   AS44702     4
1195   AS53238     4
1077  AS262773     4
355   AS266931     4
1953  AS209714     4
1215    AS8445     4
1209   AS16116     4
1078  AS137645     4
